id,filename,true_type,pred_type,confidence,ocr_confidence,ocr_engine,path_correction_applied,error
3098,TS-INQ_Old doc_Engines_Lease Engines_697519_697519 MPD Tasks_697519 MPD Task 712211-03-2.pdf,Jobcard,Jobcard,0.9434,0.0,ocr_v5_none,True,
1751,TS-INP_Check C_ES001392_JobCard_670.pdf,Jobcard,Jobcard,0.7756,69.6,ocr_v5_tesseract,True,
1370,TS-INP_Check A_ES001778_Jobcard_0107.pdf,Jobcard,Jobcard,0.5142,70.94,ocr_v5_tesseract,True,
1852,TS-INP_Check C_ES001392_JobCard_783.pdf,Jobcard,Jobcard,0.4974,79.04,ocr_v5_tesseract,True,
1707,TS-INP_Check C_ES001392_JobCard_619.pdf,Jobcard,Jobcard,0.5239,75.71,ocr_v5_tesseract,True,
1863,TS-INP_Check C_ES001392_JobCard_794.pdf,Jobcard,Jobcard,0.52,73.94,ocr_v5_tesseract,True,
1373,TS-INP_Check A_ES001778_Jobcard_0110.pdf,Jobcard,Jobcard,0.5753,77.49,ocr_v5_tesseract,True,
3252,TS-INQ_Old doc_Engines_Lease Engines_779302_779302 MPD Tasks & Supporting Documents_779302 MPD Task 712211-01-1.pdf,Jobcard,Jobcard,0.3386,84.3,ocr_v5_tesseract,True,
1840,TS-INP_Check C_ES001392_JobCard_771.pdf,Jobcard,Jobcard,0.4048,79.75,ocr_v5_tesseract,True,
1521,TS-INP_Check C_ES001392_JobCard_203.pdf,Jobcard,Jobcard,0.5896,75.82,ocr_v5_tesseract,True,
1324,TS-INP_Check A_ES001778_Jobcard_0054.pdf,Jobcard,Jobcard,0.7995,69.5,ocr_v5_tesseract,True,
1813,TS-INP_Check C_ES001392_JobCard_745.pdf,Jobcard,Jobcard,0.3923,75.91,ocr_v5_tesseract,True,
1334,TS-INP_Check A_ES001778_Jobcard_0065.pdf,Jobcard,Jobcard,0.4892,68.67,ocr_v5_tesseract,True,
1666,TS-INP_Check C_ES001392_JobCard_369.pdf,Jobcard,Jobcard,0.5204,78.15,ocr_v5_tesseract,True,
2876,TS-INQ_Old doc_Delivery documents - Manufacturer_MSN 2158~Potable Water Analysis.pdf,Specs,Other,0.5925,90.73,ocr_v5_tesseract,False,
3400,02.4.pdf,Specs,Other,0.906,95.0,ocr_v5_pdfplumber,False,
3604,13-01 MSN 3089 RMG Life Limit Part Status 20-Mar-14.pdf,Specs,Other,0.9074,97.0,ocr_v5_pdfplumber,False,
3891,TS-INQ_Old doc_Structural Repair_Exterior Repair DFPs_MSN 2158~Exterior Repair - 31.pdf,Specs,Other,0.9539,0.0,ocr_v5_none,False,
3885,TS-INQ_Old doc_Structural Repair_Exterior Repair DFPs_MSN 2158~Exterior Repair - 24.pdf,Specs,Other,0.9528,0.0,ocr_v5_none,False,
3533,MOD 00 - ETIQUETTES JAUNES MOTEUR 2 (1).pdf,Specs,Other,0.9419,0.0,ocr_v5_none,False,
3403,02.5 (4).pdf,Specs,Other,0.8559,89.9,ocr_v5_tesseract,False,
2526,TS-INQ_Old doc_AME Status + Statements_MSN 2158 E1 AD Status.pdf,Specs,Other,0.9291,97.0,ocr_v5_pdfplumber,False,
3541,MOD 02 - APRS DIVERSES (2).pdf,Specs,Other,0.8773,82.64,ocr_v5_tesseract,False,
3865,TS-INQ_Old doc_Structural Repair_Exterior Repair DFPs_MSN 2158~Exterioir Repair - 70.pdf,Specs,Other,0.9511,0.0,ocr_v5_none,False,
2857,TS-INQ_Old doc_Components_MSN 2158 ~ Spare Seat Covers_BT#S00049.pdf,Specs,Other,0.6149,95.0,ocr_v5_pdfplumber,False,
3532,MOD 00 - ETIQUETTES JAUNES MOTEUR 2 (2).pdf,Specs,Other,0.9419,0.0,ocr_v5_none,False,
2723,RH RETRACTION ACTUATOR B1309 HISTORICAL STATUS.pdf,Specs,Other,0.9567,0.0,ocr_v5_none,False,
3916,TS-INQ_Old doc_Structural Repair_Exterior Repair DFPs_MSN 2158~Exterior Repair - 6.pdf,Specs,Other,0.7446,89.05,ocr_v5_tesseract,False,
3555,MOD 22.pdf,Specs,Other,0.9564,75.0,ocr_v5_tesseract,False,
3627,CIP-009-11_Rev.0.pdf,Specs,Other,0.3449,95.0,ocr_v5_pdfplumber,False,
2853,TS-INQ_Old doc_Components_MSN 2158 ~ Spare Seat Covers_5854-TD.pdf,Specs,AD,0.3769,95.0,ocr_v5_pdfplumber,False,
3210,779302 Snecma Engine History.pdf,Specs,Other,0.8366,68.71,ocr_v5_tesseract,False,
3951,TS-INQ_Old doc_MSN 2158 fire proof plate removal.pdf,Specs,Other,0.7743,85.71,ocr_v5_tesseract,False,
3933,TS-INQ_Old doc_Structural Repair_RDAS_RDAS 70578305005.pdf,Specs,Other,0.4799,97.0,ocr_v5_pdfplumber,False,
3908,TS-INQ_Old doc_Structural Repair_Exterior Repair DFPs_MSN 2158~Exterior Repair - 49.pdf,Specs,Other,0.9516,0.0,ocr_v5_none,False,
3842,TS-INQ_Old doc_Statements_EI-FDV - Airbus A320-214 MSN2158 - Fluid-Statement_20140217.pdf,Specs,Other,0.9328,95.0,ocr_v5_tesseract,False,
3719,TS-INQ_Old doc_Mods_CDSS ST01432LA_Right of Use Letter 2158.pdf,Specs,AD,0.7664,94.68,ocr_v5_tesseract,False,
2720,LH RETRACTION ACTUATOR B867 TAM OVHL JUN 2009.pdf,Specs,Other,0.9313,87.63,ocr_v5_tesseract,False,
3490,02_2.pdf,Specs,Other,0.9313,95.0,ocr_v5_pdfplumber,False,
2884,TS-INQ_Old doc_Delivery documents - Manufacturer_MSN 2158~Seat ID List.pdf,Specs,Other,0.72,77.18,ocr_v5_tesseract,False,
3316,SPA-836514050914210.pdf,Specs,AD,0.6,88.07,ocr_v5_tesseract,False,
3208,779302 Engine CFM Equipment Lease History.pdf,Specs,Other,0.8185,0.0,ocr_v5_none,False,
3551,MOD 02 - HABILLAGE SM41.pdf,Specs,Other,0.9545,87.29,ocr_v5_tesseract,False,
3435,MOD 00 - ETIQUETTES JAUNES ACCESSOIRES 1 (1).pdf,Specs,Other,0.9316,0.0,ocr_v5_none,False,
2353,TS-INQ_Old doc_AD_AD Summaries_MSN 2158 ~ Status List of AD ~ RKC.pdf,AD,AD,0.7831,97.0,ocr_v5_pdfplumber,False,
2420,TS-INQ_Old doc_AD_ADs Not Filed As Yet_92-12-06.pdf,AD,AD,0.9326,97.0,ocr_v5_pdfplumber,False,
2917,TS-INQ_Old doc_Engines_APU_MSN 0760 APU_APS3200-BSIReportTemplate-Master-RX1-2.pdf,AD,AD,0.663,95.0,ocr_v5_pdfplumber,False,
2705,TS-INQ_Old doc_Components_Life vest MSN 2158_ATA 25 Mapping Life Jakets.pdf,AD,AD,0.7472,95.0,ocr_v5_pdfplumber,False,
3626,CIR-009-11_Rev.0.pdf,AD,Other,0.6056,95.0,ocr_v5_pdfplumber,False,
2263,TS-INQ_Old doc_AD_AD DFPs_2008-0032.pdf,AD,AD,0.9536,0.0,ocr_v5_none,False,
2492,TS-INQ_Old doc_AD_ADs Not Filed As Yet_EASA_AD_2013-0011_1.pdf,AD,AD,0.9592,99.0,ocr_v5_pdfplumber,False,
2361,TS-INQ_Old doc_AD_ADs Not Filed As Yet_2000-14-14.pdf,AD,AD,0.9472,95.0,ocr_v5_pdfplumber,False,
2248,TS-INQ_Old doc_AD_AD DFPs_2006-0334R1.pdf,AD,AD,0.9652,93.78,ocr_v5_tesseract,False,
2379,TS-INQ_Old doc_AD_ADs Not Filed As Yet_2011-19-01 R1.pdf,AD,AD,0.9557,95.0,ocr_v5_pdfplumber,False,
2232,TS-INQ_Old doc_AD_AD DFPs_2005-165.pdf,AD,AD,0.959,86.53,ocr_v5_tesseract,False,
2488,TS-INQ_Old doc_AD_ADs Not Filed As Yet_EASA_AD_2012-0198_1.pdf,AD,AD,0.9551,99.0,ocr_v5_pdfplumber,False,
2287,TS-INQ_Old doc_AD_AD DFPs_2010-0149.pdf,AD,AD,0.9508,89.5,ocr_v5_tesseract,False,
3620,Aviation ABC_Int-invoice 22-2014_NOUVELAIR.PDF,AD,AD,0.9345,99.0,ocr_v5_pdfplumber,False,
2288,TS-INQ_Old doc_AD_AD DFPs_2010-0164.pdf,AD,AD,0.9558,93.33,ocr_v5_tesseract,False,
2270,TS-INQ_Old doc_AD_AD DFPs_2008-0199R1.pdf,AD,AD,0.9583,90.0,ocr_v5_tesseract,False,
2319,TS-INQ_Old doc_AD_AD DFPs_74-08-09.pdf,AD,AD,0.9021,91.5,ocr_v5_tesseract,False,
3417,05.2.7.pdf,AD,AD,0.939,95.0,ocr_v5_pdfplumber,False,
2513,TS-INQ_Old doc_AD_ADs Not Filed As Yet_EASA_AD_2014-0011R1_2.pdf,AD,AD,0.9592,99.0,ocr_v5_pdfplumber,False,
2320,TS-INQ_Old doc_AD_AD DFPs_90-21-14.pdf,AD,AD,0.9532,95.0,ocr_v5_pdfplumber,False,
3511,03_8.pdf,AD,Other,0.8578,95.0,ocr_v5_pdfplumber,False,
2324,TS-INQ_Old doc_AD_AD DFPs_98-12-33.pdf,AD,AD,0.9445,95.0,ocr_v5_pdfplumber,False,
2470,TS-INQ_Old doc_AD_ADs Not Filed As Yet_EASA_AD_2011-0188-CN_1.pdf,AD,AD,0.9363,99.0,ocr_v5_pdfplumber,False,
2515,TS-INQ_Old doc_AD_ADs Not Filed As Yet_EASA_AD_2014-0025_1.pdf,AD,AD,0.9559,99.0,ocr_v5_pdfplumber,False,
3761,TS-INQ_Old doc_Painting_MSN 2158 ~ Paint WP ~ 09-03-2014.pdf,AD,AD,0.5197,95.0,ocr_v5_pdfplumber,False,
2243,TS-INQ_Old doc_AD_AD DFPs_2006-0203.pdf,AD,AD,0.9592,91.33,ocr_v5_tesseract,False,
2368,TS-INQ_Old doc_AD_ADs Not Filed As Yet_2002-21-01.pdf,AD,AD,0.9508,95.0,ocr_v5_pdfplumber,False,
2293,TS-INQ_Old doc_AD_AD DFPs_2010-0212.pdf,AD,AD,0.9586,0.0,ocr_v5_none,False,
2300,TS-INQ_Old doc_AD_AD DFPs_2011-0094.pdf,AD,AD,0.9658,80.38,ocr_v5_tesseract,False,
2264,TS-INQ_Old doc_AD_AD DFPs_2008-0048.pdf,AD,AD,0.9611,93.62,ocr_v5_tesseract,False,
2643,TS-INQ_Old doc_Components_Air Arabia_Components_HT Certificates_ATA 35_Portable Oxy Cyl SN ST74217.pdf,Certificate,Other,0.9475,77.65,ocr_v5_tesseract,False,
2588,TS-INQ_Old doc_Components_Air Arabia_Components_HT Certificates_ATA 24_Aircraft Battery T02511.pdf,Certificate,Other,0.9667,78.71,ocr_v5_tesseract,False,
3229,779302 JAA Form One (QEC Kit SN 5168002).pdf,Certificate,Other,0.8969,72.56,ocr_v5_tesseract,False,
2780,TS-INQ_Old doc_Components_MSN 2158 HT Certs_ATA 26 Fire ext SN 40239D1.pdf,Certificate,Other,0.958,0.0,ocr_v5_none,False,
2770,TS-INQ_Old doc_Components_MSN 2158 HT Certs_ATA 26 Cargo fire ext SN 21159F1 with cartridges.pdf,Certificate,Other,0.9699,88.54,ocr_v5_tesseract,False,
2796,TS-INQ_Old doc_Components_MSN 2158 HT Certs_ATA 26 Smoke detectors SN 13188.pdf,Certificate,Other,0.9212,77.64,ocr_v5_tesseract,False,
3234,779302 Certificate of Conformity (CFMI).pdf,Certificate,Other,0.7987,78.03,ocr_v5_tesseract,False,
2784,TS-INQ_Old doc_Components_MSN 2158 HT Certs_ATA 26 Hal Fire Ex SN 13006.pdf,Certificate,Other,0.9309,80.11,ocr_v5_tesseract,False,
2646,TS-INQ_Old doc_Components_Air Arabia_Components_HT Certificates_ATA 35_Portable Oxy Cyl SN ST77756.pdf,Certificate,Other,0.9135,72.26,ocr_v5_tesseract,False,
2576,TS-INQ_Old doc_Components_Air Arabia_Components_HT Certificates_ATA 21_Condenser SN 0756A00ES008421.pdf,Certificate,Other,0.9646,84.3,ocr_v5_tesseract,False,
2154,TS-INP_Other Documents_Status_OCCM_0706.pdf,Certificate,Other,0.8964,88.12,ocr_v5_tesseract,False,
2619,TS-INQ_Old doc_Components_Air Arabia_Components_HT Certificates_ATA 26_Hal Fire Ex SN 11750.pdf,Certificate,Other,0.9013,71.03,ocr_v5_tesseract,False,
2845,TS-INQ_Old doc_Components_MSN 2158 ~ OCCM Form 1's ~ Delivery ~ March 2014_MSN 2158 ~ OCCM ~ ATA 54.pdf,Certificate,Other,0.9185,95.0,ocr_v5_pdfplumber,False,
3325,ESN 697519 LLP Disk Sheet .pdf,Certificate,Other,0.5682,97.0,ocr_v5_pdfplumber,False,
2152,TS-INP_Other Documents_Status_OCCM_0608.pdf,Certificate,Other,0.872,60.56,ocr_v5_tesseract,False,
2623,TS-INQ_Old doc_Components_Air Arabia_Components_HT Certificates_ATA 26_Smoke Detector SN 20103.pdf,Certificate,Other,0.9008,79.35,ocr_v5_tesseract,False,
3066,697519 EASA Form One (QEC Kit SN 9088002).pdf,Certificate,Other,0.9233,84.32,ocr_v5_tesseract,False,
2785,TS-INQ_Old doc_Components_MSN 2158 HT Certs_ATA 26 Hal Fire Ex SN 12226.pdf,Certificate,Other,0.9509,75.7,ocr_v5_tesseract,False,
2667,TS-INQ_Old doc_Components_Air Arabia_Components_OCCM_ATA 52.pdf,Certificate,Other,0.9509,0.0,ocr_v5_none,False,
3465,01-ENGINERELEASECERTIFICATE.pdf,Certificate,Other,0.938,97.0,ocr_v5_pdfplumber,False,
3956,TS-INQ_Old doc_TS-INQ Certificates.pdf,Certificate,Other,0.9027,90.3,ocr_v5_tesseract,False,
3354,TS-INQ_Old doc_Engines_Leased engines MSN 2158 change_779302_Signed statements_engine certificate.pdf,Certificate,Other,0.6764,0.0,ocr_v5_none,False,
2971,697519 Interjet QEC.Accessory Certs & Supporting Documents.pdf,Certificate,Other,0.9106,90.21,ocr_v5_tesseract,False,
2671,TS-INQ_Old doc_Components_Air Arabia_Components_OCCM_ATA 77.pdf,Certificate,Other,0.9556,0.0,ocr_v5_none,False,
2849,8130-3 ~ Seat Covers.pdf,Certificate,Other,0.8952,95.0,ocr_v5_pdfplumber,False,
2920,TS-INQ_Old doc_Engines_APU_MSN 0760 APU_ASP3200 EASA Form 1.pdf,Certificate,Other,0.5275,0.0,ocr_v5_none,False,
1298,test_final.pdf,Certificate,Other,0.8504,99.0,ocr_v5_pdfplumber,False,
2834,TS-INQ_Old doc_Components_MSN 2158 ~ OCCM Form 1's ~ Delivery ~ March 2014_MSN 2158 ~ OCCM ~ ATA 27.pdf,Certificate,Other,0.9489,99.0,ocr_v5_pdfplumber,False,
2702,TS-INQ_Old doc_Components_Life vest MSN 2158_ATA 25 Life Jacket.pdf,Certificate,Other,0.9,97.0,ocr_v5_pdfplumber,False,
3581,TS-INQ_Old doc_ESTOPPED AND ACCEPTANCE CERTIFICATE_AR-M237_20140513_101408.pdf,Certificate,AD,0.6757,88.25,ocr_v5_tesseract,False,
2050,TS-INP_D&B chart_R0015.pdf,DB_CHART,Other,0.6152,57.45,ocr_v5_tesseract,False,
2146,TS-INP_D&B chart_R0107.pdf,DB_CHART,Other,0.6763,75.93,ocr_v5_tesseract,False,
2066,TS-INP_D&B chart_R0032.pdf,DB_CHART,AD,0.3899,80.32,ocr_v5_tesseract,False,
2042,TS-INP_D&B chart_2025_08_12_Dent-Repair_NP.PDF,DB_CHART,Other,0.6598,99.0,ocr_v5_pdfplumber,False,
2126,TS-INP_D&B chart_R0083.pdf,DB_CHART,Other,0.3221,86.61,ocr_v5_tesseract,False,
2054,TS-INP_D&B chart_R0019.pdf,DB_CHART,Other,0.9482,0.0,ocr_v5_none,False,
3670,TS-INQ_Old doc_LOPA_Modif Cabin MSN 2158 & MSN 793_Weight And Balance Manual MSN 2158.pdf,DB_CHART,Other,0.5869,95.0,ocr_v5_pdfplumber,False,
2118,TS-INP_D&B chart_R0073.pdf,DB_CHART,Other,0.7817,64.9,ocr_v5_tesseract,False,
2117,TS-INP_D&B chart_R0072.pdf,DB_CHART,Other,0.8995,66.37,ocr_v5_tesseract,False,
2140,TS-INP_D&B chart_R0099.pdf,DB_CHART,Other,0.378,73.12,ocr_v5_tesseract,False,
2080,TS-INP_D&B chart_R0043.pdf,DB_CHART,Other,0.9482,0.0,ocr_v5_none,False,
2133,TS-INP_D&B chart_R0090.pdf,DB_CHART,Other,0.9482,0.0,ocr_v5_none,False,
2060,TS-INP_D&B chart_R0025.pdf,DB_CHART,AD,0.6902,78.71,ocr_v5_tesseract,False,
2115,TS-INP_D&B chart_R0075.pdf,DB_CHART,Other,0.9482,0.0,ocr_v5_none,False,
2082,TS-INP_D&B chart_R0045.pdf,DB_CHART,AD,0.5475,77.21,ocr_v5_tesseract,False,
2106,TS-INP_D&B chart_R0065BIS.pdf,DB_CHART,Other,0.9212,67.16,ocr_v5_tesseract,False,
2135,TS-INP_D&B chart_R0094.pdf,DB_CHART,Other,0.3938,65.74,ocr_v5_tesseract,False,
2068,TS-INP_D&B chart_R0031.pdf,DB_CHART,AD,0.674,76.82,ocr_v5_tesseract,False,
2093,TS-INP_D&B chart_R0053.pdf,DB_CHART,Other,0.3775,71.67,ocr_v5_tesseract,False,
2085,TS-INP_D&B chart_R0048.pdf,DB_CHART,Other,0.9482,0.0,ocr_v5_none,False,
2058,TS-INP_D&B chart_R0022.pdf,DB_CHART,AD,0.5137,78.78,ocr_v5_tesseract,False,
2079,TS-INP_D&B chart_R0042.pdf,DB_CHART,AD,0.4927,86.14,ocr_v5_tesseract,False,
2104,TS-INP_D&B chart_R0060.pdf,DB_CHART,AD,0.8543,84.6,ocr_v5_tesseract,False,
2041,TS-INP_D&B chart_R001.pdf,DB_CHART,Other,0.9482,0.0,ocr_v5_none,False,
2088,TS-INP_D&B chart_R005.pdf,DB_CHART,AD,0.6081,77.57,ocr_v5_tesseract,False,
2063,TS-INP_D&B chart_R0026.pdf,DB_CHART,AD,0.3691,82.64,ocr_v5_tesseract,False,
2074,TS-INP_D&B chart_R0036.pdf,DB_CHART,AD,0.3831,80.07,ocr_v5_tesseract,False,
2134,TS-INP_D&B chart_R0089.pdf,DB_CHART,Other,0.6854,79.92,ocr_v5_tesseract,False,
2139,TS-INP_D&B chart_R0098.pdf,DB_CHART,Other,0.3918,70.99,ocr_v5_tesseract,False,
2144,TS-INP_D&B chart_R0101.pdf,DB_CHART,Other,0.9482,0.0,ocr_v5_none,False,
3776,TS-INQ_Old doc_SB_SB Airbus_A320-25-1394.pdf,SB,SB,0.9541,0.0,ocr_v5_none,False,
3798,TS-INQ_Old doc_SB_SB Airbus_A320-29-1132.pdf,SB,SB,0.7234,77.07,ocr_v5_tesseract,False,
3766,TS-INQ_Old doc_SB_SB Airbus_A320-22-1174.pdf,SB,SB,0.9572,0.0,ocr_v5_none,False,
3834,TS-INQ_Old doc_SB_From the Air Arabia SB Status.pdf,SB,SB,0.6665,99.0,ocr_v5_pdfplumber,False,
3817,TS-INQ_Old doc_SB_SB Airbus_A320-32-1318.pdf,SB,SB,0.7699,83.0,ocr_v5_tesseract,False,
3795,TS-INQ_Old doc_SB_SB Airbus_A320-29-1140.pdf,SB,SB,0.6301,75.36,ocr_v5_tesseract,False,
3803,TS-INQ_Old doc_SB_SB Airbus_A320-31-1257.pdf,SB,SB,0.6772,82.23,ocr_v5_tesseract,False,
3792,TS-INQ_Old doc_SB_SB Airbus_A320-29-1120.pdf,SB,SB,0.5573,77.12,ocr_v5_tesseract,False,
3837,TS-INQ_Old doc_SB_SB_00_1013_63.pdf,SB,SB,0.6868,99.0,ocr_v5_pdfplumber,False,
3023,697519 Thomas Cook ASB & AOW Stmt..pdf,SB,SB,0.448,84.02,ocr_v5_tesseract,False,
3774,TS-INQ_Old doc_SB_SB Airbus_A320-22-1276.pdf,SB,SB,0.951,0.0,ocr_v5_none,False,
3826,TS-INQ_Old doc_SB_SB Airbus_A320-34-1335.pdf,SB,SB,0.8103,70.77,ocr_v5_tesseract,False,
3786,TS-INQ_Old doc_SB_SB Airbus_A320-27-1209.pdf,SB,SB,0.9491,0.0,ocr_v5_none,False,
3785,TS-INQ_Old doc_SB_SB Airbus_A320-27-1191.pdf,SB,SB,0.7842,75.97,ocr_v5_tesseract,False,
3775,TS-INQ_Old doc_SB_SB Airbus_A320-25-1535.pdf,SB,SB,0.7567,82.19,ocr_v5_tesseract,False,
3832,TS-INQ_Old doc_SB_SB Airbus_A320-57-1154 Rear Spar Inspection.pdf,SB,SB,0.8025,87.28,ocr_v5_tesseract,False,
3824,TS-INQ_Old doc_SB_SB Airbus_A320-32A1390.pdf,SB,SB,0.9635,0.0,ocr_v5_none,False,
3811,TS-INQ_Old doc_SB_SB Airbus_A320-32-1294.pdf,SB,SB,0.7579,80.99,ocr_v5_tesseract,False,
3767,TS-INQ_Old doc_SB_SB Airbus_A320-22-1156.pdf,SB,SB,0.9572,74.0,ocr_v5_tesseract,False,
2914,TS-INQ_Old doc_Engines_APU_APU change from APS3200 to 131-9A_SB_49_1082_15.pdf,SB,SB,0.5654,99.0,ocr_v5_pdfplumber,False,
3788,TS-INQ_Old doc_SB_SB Airbus_A320-27A1179.pdf,SB,SB,0.7831,82.53,ocr_v5_tesseract,False,
3825,TS-INQ_Old doc_SB_SB Airbus_A320-34-1336.pdf,SB,SB,0.7405,78.05,ocr_v5_tesseract,False,
3791,TS-INQ_Old doc_SB_SB Airbus_A320-28-1174.pdf,SB,SB,0.5843,73.64,ocr_v5_tesseract,False,
3809,TS-INQ_Old doc_SB_SB Airbus_A320-32-1282.pdf,SB,SB,0.7444,84.95,ocr_v5_tesseract,False,
3003,697519 Air Jamaica SB Statement.pdf,SB,SB,0.8056,88.04,ocr_v5_tesseract,False,
3820,TS-INQ_Old doc_SB_SB Airbus_A320-32-1346.pdf,SB,SB,0.8571,80.42,ocr_v5_tesseract,False,
3579,TS-INQ_Old doc_ESTOPPED AND ACCEPTANCE CERTIFICATE_Nouvelair 2158 Estoppel andAcceptance Certificate (21st March)[1] - SB.pdf,SB,Other,0.6394,99.0,ocr_v5_pdfplumber,False,
