   ID | AIRCRAFT | TYPE                 | CATEGORIE       | SOUS-CAT     | CONF OCR  | CLASSIF | FICHIER
  590 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  70.1% |   1.00 | ES00217074.pdf
  587 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  71.6% |   1.00 | ES00217075.pdf
  593 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  68.8% |   1.00 | ES00217076.pdf
  596 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  71.2% |   1.00 | ES00217077.pdf
  595 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  71.7% |   1.00 | ES00217078.pdf
  591 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  72.2% |   1.00 | ES00217079.pdf
  594 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  72.6% |   1.00 | ES00217080.pdf
  592 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  71.6% |   1.00 | ES00217081.pdf
  597 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  72.9% |   1.00 | ES00217082.pdf
  599 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  73.4% |   1.00 | ES00217083.pdf
  600 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  72.0% |   1.00 | ES00217084.pdf
  598 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  75.1% |   1.00 | ES00217089.pdf
  601 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  73.1% |   1.00 | ES00217091.pdf
  604 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  70.6% |   1.00 | ES00217092.pdf
  603 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  62.4% |   1.00 | ES00217161.pdf
  602 | TS-INP   | WORK_ORDER           | Check C         | -            | ⚠️  54.7% |   1.00 | ES00217162.pdf
  605 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  66.8% |   1.00 | ES00217166.pdf
  606 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  76.1% |   1.00 | ES00217749.pdf
  608 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  70.2% |   1.00 | ES00217815.pdf
  607 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  66.1% |   1.00 | ES00217924.pdf
  609 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  67.7% |   1.00 | ES00218222.pdf
  610 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  78.2% |   1.00 | ES00218232.pdf
  614 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  65.3% |   1.00 | ES00218332.pdf
  613 | TS-INP   | WORK_ORDER           | Check C         | -            | ⚠️  58.9% |   1.00 | ES00218476.pdf
  616 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  86.5% |   1.00 | ES00218609_MSN001597.pdf
  617 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  66.1% |   1.00 | ES00218657.pdf
  618 | TS-INP   | WORK_ORDER           | Check C         | -            | ⚠️  59.5% |   1.00 | ES00218658.pdf
  620 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  75.7% |   1.00 | ES00218667.pdf
  619 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  80.3% |   1.00 | ES00218673.pdf
  625 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  72.2% |   1.00 | ES00218674.pdf
  623 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  69.7% |   1.00 | ES00218796.pdf
  622 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  79.1% |   1.00 | ES00218824.pdf
  621 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  69.7% |   1.00 | ES00218827.pdf
  626 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  79.3% |   1.00 | ES00218905.pdf
  624 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  66.9% |   1.00 | ES00218945.pdf
  627 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  61.2% |   1.00 | ES00219111.pdf
  199 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  79.4% |   1.00 | ES00245294.pdf
  200 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  64.2% |   1.00 | ES00268698.pdf
  206 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  83.2% |   1.00 | ES00268702.pdf
  203 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  64.4% |   1.00 | ES00272829.pdf
  201 | TS-INP   | WORK_ORDER           | Check A         | -            | ⚠️  56.9% |   1.00 | ES00272830.pdf
  202 | TS-INP   | WORK_ORDER           | Check A         | -            | ⚠️  59.8% |   1.00 | ES00272831.pdf
  205 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  62.0% |   1.00 | ES00272836.pdf
  204 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  62.3% |   1.00 | ES00272837.pdf
  208 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  70.6% |   1.00 | ES00272838.pdf
  207 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  71.2% |   1.00 | ES00272839.pdf
  209 | TS-INP   | WORK_ORDER           | Check A         | -            | ⚠️  56.6% |   1.00 | ES00272929.pdf
  210 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  62.0% |   1.00 | ES00273343.pdf
  212 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  66.3% |   1.00 | ES00273344.pdf
  213 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  77.8% |   1.00 | ES00273345.pdf
  211 | TS-INP   | WORK_ORDER           | Check A         | -            | ⚠️  58.0% |   1.00 | ES00273346.pdf
  214 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  71.9% |   1.00 | ES00273347.pdf
  215 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  68.9% |   1.00 | ES00274227.pdf
  216 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  61.4% |   1.00 | ES00274691.pdf
  217 | TS-INP   | WORK_ORDER           | Check A         | -            | ⚠️  53.6% |   1.00 | ES00275936.pdf
  219 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  73.9% |   1.00 | ES00276147.pdf
  218 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  76.0% |   1.00 | ES00276202.pdf
  630 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  72.7% |   1.00 | ES129376_MSN001597.pdf
  628 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  68.4% |   1.00 | ES145145_MSN001597.pdf
  629 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  71.9% |   1.00 | ES164135_MSN001597.pdf
  633 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  86.1% |   1.00 | ES164201_MSN001597.pdf
  632 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  81.7% |   1.00 | ES168707_MSN001597.pdf
  631 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  71.9% |   1.00 | ES171325.pdf
  635 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  65.4% |   1.00 | ES173902_MSN001597.pdf
  634 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  71.5% |   1.00 | ES177725_MSN001597.pdf
  636 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  69.6% |   1.00 | ES177731_MSN001597.pdf
  638 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  71.8% |   1.00 | ES177737_MSN001597.pdf
  640 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  72.3% |   1.00 | ES178617_MSN001597.pdf
  637 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  68.4% |   1.00 | ES178635_MSN001597.pdf
  639 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  78.4% |   1.00 | ES179138.pdf
  642 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  87.1% |   1.00 | ES179138_MSN001597.pdf
  641 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  82.1% |   1.00 | ES179156_MSN001597.pdf
  643 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  69.4% |   1.00 | ES179157_MSN001597.pdf
  645 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  69.8% |   1.00 | ES179158_MSN001597.pdf
  646 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  69.3% |   1.00 | ES179159_MSN001597.pdf
  644 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  74.2% |   1.00 | ES179495_MSN001597.pdf
  648 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  70.0% |   1.00 | ES179921_MSN001597.pdf
  649 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  72.6% |   1.00 | ES179922_MSN001597.pdf
  650 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  71.8% |   1.00 | ES180192_MSN001597.pdf
  647 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  72.5% |   1.00 | ES201710_MSN001597.pdf
  651 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  70.5% |   1.00 | ES203285_MSN001597.pdf
  654 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  68.8% |   1.00 | ES203287_MSN001597.pdf
  652 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  71.7% |   1.00 | ES203692_MSN001597.pdf
  653 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  68.7% |   1.00 | ES203713_MSN001597.pdf
  656 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  86.6% |   1.00 | ES203785_MSN001597.pdf
  655 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  82.1% |   1.00 | ES206110_MSN001597.pdf
  657 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  83.2% |   1.00 | ES206111_MSN001597.pdf
  660 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  69.8% |   1.00 | ES206112_MSN001597.pdf
  658 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  69.6% |   1.00 | ES206113_MSN001597.pdf
  659 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  81.8% |   1.00 | ES206114_MSN001597.pdf
  665 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  70.9% |   1.00 | ES206115_MSN001597.pdf
  661 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  71.5% |   1.00 | ES206122_MSN001597.pdf
  664 | TS-INP   | WORK_ORDER           | Check C         | -            | ⚠️  47.5% |   1.00 | ES206704_MSN001597.pdf
  662 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  69.8% |   1.00 | ES207662_MSN001597.pdf
  663 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  70.6% |   1.00 | ES207665_MSN001597.pdf
  666 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  68.8% |   1.00 | ES207666_MSN001597.pdf
  668 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  82.3% |   1.00 | ES207945_MSN001597.pdf
  669 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  70.4% |   1.00 | ES207951_MSN001597.pdf
  667 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  80.7% |   1.00 | ES207954_MSN001597.pdf
  670 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  71.6% |   1.00 | ES207955_MSN001597.pdf
  675 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  73.5% |   1.00 | ES207964_MSN001597.pdf
  671 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  70.5% |   1.00 | ES209431_MSN001597.pdf
  676 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  71.8% |   1.00 | ES209438_MSN001597.pdf
  673 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  70.4% |   1.00 | ES210044_MSN001597.pdf
  674 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  71.5% |   1.00 | ES211503_MSN001597.pdf
  672 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  69.8% |   1.00 | ES211504_MSN001597.pdf
  679 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  70.8% |   1.00 | ES211506_MSN001597.pdf
  680 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  72.8% |   1.00 | ES211510_MSN001597.pdf
  678 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  69.8% |   1.00 | ES211511_MSN001597.pdf
  677 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  78.6% |   1.00 | ES211515_MSN001597.pdf
  683 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  70.5% |   1.00 | ES211518_MSN001597.pdf
  685 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  71.1% |   1.00 | ES212188_MSN001597.pdf
  684 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  66.1% |   1.00 | ES212201_MSN001597.pdf
  686 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  67.2% |   1.00 | ES212202_MSN001597.pdf
  681 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  71.8% |   1.00 | ES212204_MSN001597.pdf
  682 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  70.9% |   1.00 | ES212655_MSN001597.pdf
  687 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  70.7% |   1.00 | ES212897_MSN001597.pdf
  688 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  68.8% |   1.00 | ES214123_MSN001597.pdf
  689 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  80.5% |   1.00 | ES214402_MSN001597.pdf
  690 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  71.4% |   1.00 | ES214403_MSN001597.pdf
  691 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  66.0% |   1.00 | ES214404_MSN001597.pdf
  695 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  69.5% |   1.00 | ES214405_MSN001597.pdf
  692 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  60.6% |   1.00 | ES214407_MSN001597.pdf
  696 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  70.3% |   1.00 | ES214408_MSN001597.pdf
  693 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  67.5% |   1.00 | ES214409_MSN001597.pdf
  694 | TS-INP   | WORK_ORDER           | Check C         | -            | ⚠️  53.5% |   1.00 | ES214411_MSN001597.pdf
  700 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  68.4% |   1.00 | ES214461_MSN001597.pdf
  699 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  82.2% |   1.00 | ES214463_MSN001597.pdf
  697 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  70.7% |   1.00 | ES214465_MSN001597.pdf
  698 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  72.1% |   1.00 | ES214466_MSN001597.pdf
  705 | TS-INP   | WORK_ORDER           | Check C         | -            | ⚠️  52.8% |   1.00 | ES215472_MSN001597.pdf
  704 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  71.4% |   1.00 | ES215612_MSN001597.pdf
  702 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  68.4% |   1.00 | ES215742_MSN001597.pdf
  706 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  72.0% |   1.00 | ES216324_MSN001597.pdf
  701 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  72.9% |   1.00 | ES216687_MSN001597.pdf
  703 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  80.3% |   1.00 | ES216688_MSN001597.pdf
  710 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  72.7% |   1.00 | ES216689_MSN001597.pdf
  707 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  69.7% |   1.00 | ES216690_MSN001597.pdf
  708 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  78.1% |   1.00 | ES216691_MSN001597.pdf
  709 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  65.1% |   1.00 | ES216692_MSN001597.pdf
  715 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  84.5% |   1.00 | ES216693_MSN001597.pdf
  714 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  81.5% |   1.00 | ES216694_MSN001597.pdf
  713 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  85.1% |   1.00 | ES216695_MSN001597.pdf
  716 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  83.1% |   1.00 | ES216696_MSN001597.pdf
  711 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  75.0% |   1.00 | ES216707_MSN1597.pdf
  712 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  69.7% |   1.00 | ES216764_MSN001597.pdf
  717 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  69.6% |   1.00 | ES216765_MSN001597.pdf
  719 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  69.3% |   1.00 | ES216766_MSN001597.pdf
  718 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  70.9% |   1.00 | ES216767_MSN001597.pdf
  720 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  70.3% |   1.00 | ES216768_MSN001597.pdf
  725 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  70.0% |   1.00 | ES216769_MSN001597.pdf
  723 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  70.2% |   1.00 | ES216770_MSN001597.pdf
  726 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  81.2% |   1.00 | ES216845_MSN001597.pdf
  722 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  71.9% |   1.00 | ES216876_MSN001597.pdf
  721 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  70.7% |   1.00 | ES216877_MSN001597.pdf
  724 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  69.0% |   1.00 | ES216878_MSN001597.pdf
  729 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  85.0% |   1.00 | ES216915_MSN001597.pdf
  727 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  85.5% |   1.00 | ES216922_MSN001597.pdf
  730 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  66.0% |   1.00 | ES216935_MSN001597.pdf
  734 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  81.9% |   1.00 | ES216953_MSN001597.pdf
  732 | TS-INP   | WORK_ORDER           | Check C         | -            | ⚠️  50.9% |   1.00 | ES216964_MSN001597.pdf
  731 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  70.5% |   1.00 | ES216969_MSN001597.pdf
  735 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  71.5% |   1.00 | ES217062_MSN001597.pdf
  733 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  76.6% |   1.00 | ES217086_MSN001597.pdf
  736 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  72.5% |   1.00 | ES217087_MSN001597.pdf
  739 | TS-INP   | WORK_ORDER           | Check C         | -            | ⚠️  51.1% |   1.00 | ES217088_MSN001597.pdf
  737 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  74.9% |   1.00 | ES217090_MSN001597.pdf
  738 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  65.1% |   1.00 | ES217169_MSN001597.pdf
  740 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  69.8% |   1.00 | ES217175_MSN001597.pdf
  741 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  66.2% |   1.00 | ES217189_MSN001597.pdf
  745 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  67.4% |   1.00 | ES217194_MSN001597.pdf
  742 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  86.3% |   1.00 | ES217236_MSN001597.pdf
  746 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  88.0% |   1.00 | ES217748_MSN001597.pdf
  744 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  87.9% |   1.00 | ES217751_MSN001597.pdf
  743 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  86.8% |   1.00 | ES218129_MSN001597.pdf
  750 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  83.5% |   1.00 | ES218430_MSN001597.pdf
  747 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  72.5% |   0.00 | R001.pdf
  748 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  78.1% |   0.00 | R0011.pdf
  754 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  72.8% |   0.00 | R0011BIS.pdf
  756 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  82.7% |   0.00 | R0012.pdf
  751 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  71.5% |   0.00 | R0013.pdf
  753 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  68.3% |   0.00 | R0014.pdf
  755 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  64.1% |   0.00 | R0015.pdf
  752 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  70.4% |   0.00 | R0016.pdf
  757 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  75.0% |   0.00 | R0017.pdf
  760 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  67.5% |   0.00 | R0019.pdf
  758 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  69.6% |   0.00 | R002.pdf
  759 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  70.2% |   0.00 | R0020.pdf
  763 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  76.5% |   0.00 | R0021.pdf
  761 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  75.0% |   0.00 | R0022.pdf
  764 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  70.7% |   0.00 | R0023.pdf
  762 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  72.4% |   0.00 | R0024.pdf
  766 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  69.6% |   0.00 | R0025.pdf
  765 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  81.3% |   0.00 | R0026.pdf
  770 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  73.3% |   0.00 | R0027.pdf
  767 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  75.1% |   0.00 | R0028.pdf
  769 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  68.7% |   0.00 | R0029.pdf
  768 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  77.7% |   0.00 | R003.pdf
  773 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  81.2% |   0.00 | R0030.pdf
  775 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  71.5% |   0.00 | R0031.pdf
  771 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  73.1% |   0.00 | R0032.pdf
  774 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  68.3% |   0.00 | R0033.pdf
  776 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  77.7% |   0.00 | R0034.pdf
  772 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  66.3% |   0.00 | R0035.pdf
  780 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  73.5% |   0.00 | R0036.pdf
  778 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  71.9% |   0.00 | R0037.pdf
  777 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  73.5% |   0.00 | R0038.pdf
  779 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  78.9% |   0.00 | R0039.pdf
  781 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  73.9% |   0.00 | R004.pdf
  786 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  72.0% |   0.00 | R0040.pdf
  785 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  75.4% |   0.00 | R0041.pdf
  782 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  63.5% |   0.00 | R0042.pdf
  783 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  71.2% |   0.00 | R0043.pdf
  784 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  67.7% |   0.00 | R0044.pdf
  789 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  78.8% |   0.00 | R0045.pdf
  787 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  84.0% |   0.00 | R0046.pdf
  788 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  88.6% |   0.00 | R0047.pdf
  790 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  75.9% |   0.00 | R0048.pdf
  794 | TS-INP   | WORK_ORDER           | Check A         | -            | ✅  82.5% |   0.00 | R0049.pdf
